m5xFAD	WT
ENSMUSG00000063558	0.691425027641131	0.431457149008335
ENSMUSG00000064294	0.00744061723449718	0.509369417112694
ENSMUSG00000038242	0.0662550759755831	0.472844217302132
ENSMUSG00000103839	2.74154520141453	1.6668056386516
ENSMUSG00000051223	5.0005057693351	4.43794753874196
ENSMUSG00000026034	3.68638483321785	3.00456403739328
ENSMUSG00000026035	2.40835013108389	2.34414046863975
ENSMUSG00000026036	2.8494976492785	2.49190383830713
ENSMUSG00000026037	3.44546707782952	3.38259026616806
ENSMUSG00000038174	2.0237012686152	1.80179359651237
ENSMUSG00000026032	6.32827342964145	6.22747252325109
ENSMUSG00000059647	3.67884066242424	4.76967913086852
ENSMUSG00000102059	3.49600599092621	3.64314488727856
ENSMUSG00000026031	1.9503698598089	2.17235518606005
ENSMUSG00000026029	2.08900262948835	2.20842181726277
